
============================================================
Trace references:
          race_id gender  reference_time  reference_log  reference_std  n_total  n_used
Казанский марафон      M          5889.0       8.680841      46.639416     9979     401
 Чемпионат России      M          8090.5       8.998446      28.114487      247      10
       Белые ночи      M         10530.0       9.261984      41.160818    10149     407
     Дорога жизни      M         10601.5       9.268751      31.812911     8393     336
 Пермский марафон      M          9755.0       9.185535     122.680975     1863      75
Казанский марафон      F          6272.0       8.743851      78.218873     2406      96
       Белые ночи      F         11510.5       9.351015     185.598523     2202      88
 Пермский марафон      F          9585.0       9.167955     149.148040      286      12
     Дорога жизни      F         11928.0       9.386644     114.266759     2387      97
 Чемпионат России      F          8932.0       9.097396      43.792304       64       3

============================================================
Age references (by race):

Казанский марафон:
gender  age  age_median_time  age_median_log  age_median_std  n_total  age_median_var
     M   64          16033.0        9.682404      521.743273       51   272216.042990
     M   65          16719.0        9.724301      442.753861       52   196030.981652
     M   66          15041.0        9.618535      636.579083       35   405232.929422
     M   67          15912.0        9.674829      799.847876       32   639756.624215
     M   68          16613.5        9.717971      319.867056       34   102314.933411

Дорога жизни:
gender  age  age_median_time  age_median_log  age_median_std  n_total  age_median_var
     F   26          15457.5        9.645850      645.463938       30   416623.694969
     F   27          14806.0        9.602788      324.488426       41   105292.738668
     F   28          14996.0        9.615539      486.087440       53   236280.999372
     F   29          15676.0        9.659886      489.711423       62   239817.278266
     F   30          15565.0        9.652780      390.275866       67   152315.251357
     F   31          15915.0        9.675017      260.950455       93    68095.140075
     F   32          15857.0        9.671366      237.618250      110    56462.432607
     F   33          15710.0        9.662053      235.923945      133    55660.108040
     F   34          15118.0        9.623641      217.658799      112    47375.352959
     F   35          15373.0        9.640368      201.274892      141    40511.582312
     F   36          15611.0        9.655731      300.570022      120    90342.338185
     F   37          15678.0        9.660014      262.182100      132    68739.453763
     F   38          15630.0        9.656947      309.403072      120    95730.261206
     F   39          16363.0        9.702778      299.455677      113    89673.702412
     F   40          15969.0        9.678405      321.119082      135   103117.464925
     F   41          15795.5        9.667480      332.515623       94   110566.639692
     F   42          16498.0        9.710994      311.880482       81    97269.435075
     F   43          15795.5        9.667480      300.089608       88    90053.772557
     F   44          15988.0        9.679594      449.803251       79   202322.964196
     F   45          15480.0        9.647304      263.660914       72    69517.077381
     F   46          15852.0        9.671051      161.181692       59    25979.537688
     F   47          16285.5        9.698030      387.765805       52   150362.319541
     F   48          16365.5        9.702931      476.623907       38   227170.348643
     F   49          16244.0        9.695479      572.134549       43   327337.941608
     M   24          14477.0        9.580316      505.971070       32   256006.723618
     M   25          14582.5        9.587577      364.013509       54   132505.834447
     M   26          14359.0        9.572132      398.275521       75   158623.390930
     M   27          13897.0        9.539428      265.374617       89    70423.687211
     M   28          14254.0        9.564793      188.105654      112    35383.736960
     M   29          14091.5        9.553327      189.841957      162    36039.968618
     M   30          13967.0        9.544453      139.398753      189    19432.012462
     M   31          13952.0        9.543378      135.630725      261    18395.693442
     M   32          14205.0        9.561349      197.200701      289    38888.116558
     M   33          13921.0        9.541154      125.249539      363    15687.447136
     M   34          14190.0        9.560293      160.725658      390    25832.737161
     M   35          13928.5        9.541692      106.925160      448    11432.989793
     M   36          14215.0        9.562053      168.659919      427    28446.168442
     M   37          14390.0        9.574289      115.646487      449    13374.109925
     M   38          14293.0        9.567525      106.858855      441    11418.814849
     M   39          14406.0        9.575400      178.592523      401    31895.289422
     M   40          14326.5        9.569866      128.911874      398    16618.271200
     M   41          14366.0        9.572620      144.585690      357    20905.021884
     M   42          14306.0        9.568434      128.241801      317    16445.959573
     M   43          14384.0        9.573872      184.077930      293    33884.684196
     M   44          14441.0        9.577827      128.038518      286    16393.862004
     M   45          14504.0        9.582180      215.169419      251    46297.878769
     M   46          14468.5        9.579729      228.903347      202    52396.742205
     M   47          14535.0        9.584315      231.350212      205    53522.920578
     M   48          14316.5        9.569168      155.788066      188    24269.921602
     M   49          14496.5        9.581663      247.392311      170    61202.955773
     M   50          14400.0        9.574983      296.742610      127    88056.176859
     M   51          14672.0        9.593696      245.329042      123    60186.338794
     M   52          14349.5        9.571470      239.298492      102    57263.768216
     M   53          14554.0        9.585621      169.240367       97    28642.301910
     M   54          14843.5        9.605317      208.680582      100    43547.585201
     M   55          15110.0        9.623112      275.438199       81    75866.201407
     M   56          14513.5        9.582835      268.858728       86    72285.015521
     M   57          15059.0        9.619731      344.064189       80   118380.166325
     M   58          15749.5        9.664564      430.542436       52   185366.788788
     M   59          14984.0        9.614738      366.781406       65   134528.599975
     M   60          15160.0        9.626416      248.172538       67    61589.608819
     M   61          15247.0        9.632138      345.970895       55   119695.860276
     M   62          15385.0        9.641148      489.973332       54   240073.865930
     M   63          15324.0        9.637176      315.414283       57    99486.170226
     M   64          15511.0        9.649305      482.476239       51   232783.321583
     M   65          15736.0        9.663706      361.715408       57   130838.036080
     M   66          16149.0        9.689613      562.395428       35   316288.617462
     M   67          16310.0        9.699534      557.304718       33   310588.548518
     M   68          16165.0        9.690604      477.804612       30   228297.247330

Пермский марафон:
gender  age  age_median_time  age_median_log  age_median_std  n_total  age_median_var
     M   24          13099.5        9.480329      448.709245       30   201339.986124
     M   27          13871.0        9.537556      861.891448       35   742856.868317
